"StageRank","Stage","Rider","Team","RiderCountry","StageGap","StageTime","OverallRank","OverallGap","OverallTime"
1,1,"GREIPEL, André ","Lotto Soudal","GER",0,13821,1,0,13811
2,1,"EWAN, Caleb ","Mitchelton-SCOTT","AUS",0,13821,2,4,13815
3,1,"SAGAN, Peter ","BORA - hansgrohe","SVK",0,13821,4,6,13817
4,1,"VIVIANI, Elia ","Quick - Step Floors","ITA",0,13821,8,10,13821
5,1,"CONSONNI, Simone ","UAE Team Emirates","ITA",0,13821,9,10,13821
6,1,"BAUHAUS, Phil ","Team Sunweb","GER",0,13821,10,10,13821
7,1,"HAAS, Nathan ","Team Katusha-Alpecin","AUS",0,13821,6,9,13820
8,1,"MONTAGUTI, Mattéo ","Ag2R La Mondiale","ITA",0,13821,11,10,13821
9,1,"NAVARDAUSKAS, Ramunas ","Bahrain - Merida","LTU",0,13821,12,10,13821
10,1,"MINALI, Riccardo ","Astana Pro Team","ITA",0,13821,13,10,13821
11,1,"BEVIN, Patrick ","BMC Racing Team","NZL",0,13821,14,10,13821
12,1,"BATTAGLIN, Enrico ","Team Lotto NL - Jumbo","ITA",0,13821,15,10,13821
13,1,"IMPEY, Daryl ","Mitchelton-SCOTT","RSA",0,13821,16,10,13821
14,1,"LAWLESS, Christopher ","Team Sky","GBR",0,13821,17,10,13821
15,1,"PEDERSEN, Mads ","Trek - Segafredo","DEN",0,13821,18,10,13821
16,1,"WELSFORD, Sam ","UniSA-Australia","AUS",0,13821,19,10,13821
17,1,"MCCARTHY, Jay ","BORA - hansgrohe","AUS",0,13821,20,10,13821
18,1,"SELIG, Rüdiger ","BORA - hansgrohe","GER",0,13821,21,10,13821
19,1,"BEPPU, Fumiyuki ","Trek - Segafredo","JPN",0,13821,22,10,13821
20,1,"DUCHESNE, Antoine ","FDJ","CAN",0,13821,23,10,13821
21,1,"PETERS, Nans ","Ag2R La Mondiale","FRA",0,13821,24,10,13821
22,1,"BENNETT, George ","Team Lotto NL - Jumbo","NZL",0,13821,25,10,13821
23,1,"BARBERO, Carlos ","Movistar Team","ESP",0,13821,26,10,13821
24,1,"RENSHAW, Mark ","Team Dimension Data for Qhubeka","AUS",0,13821,27,10,13821
25,1,"VON HOFF, Steele ","UniSA-Australia","AUS",0,13821,28,10,13821
26,1,"OOMEN, Sam ","Team Sunweb","NED",0,13821,29,10,13821
27,1,"PREIDLER, Georg ","FDJ","AUT",0,13821,30,10,13821
28,1,"ROUX, Anthony ","FDJ","FRA",0,13821,31,10,13821
29,1,"CHEREL, Mikael ","Ag2R La Mondiale","FRA",0,13821,32,10,13821
30,1,"GESINK, Robert ","Team Lotto NL - Jumbo","BEL",0,13821,33,10,13821
31,1,"FERNANDEZ, Ruben ","Movistar Team","ESP",0,13821,34,10,13821
32,1,"ULISSI, Diego ","UAE Team Emirates","ITA",0,13821,35,10,13821
33,1,"SCHMIDT, Mads Würtz ","Team Katusha-Alpecin","DEN",0,13821,36,10,13821
34,1,"SABATINI, Fabio ","Quick - Step Floors","ITA",0,13821,37,10,13821
35,1,"MORABITO, Steve ","FDJ","SUI",0,13821,38,10,13821
36,1,"DOMONT, Axel ","Ag2R La Mondiale","FRA",0,13821,39,10,13821
37,1,"HAMILTON, Christopher ","Team Sunweb","AUS",0,13821,40,10,13821
38,1,"OWEN, Logan ","Team EF Education First-Drapac p/b Cannondale","USA",0,13821,41,10,13821
39,1,"COSTA, Rui ","UAE Team Emirates","POR",0,13821,42,10,13821
40,1,"BERNAL, Egan ","Team Sky","COL",0,13821,43,10,13821
41,1,"ZAKHAROV, Artyom ","Astana Pro Team","KAZ",0,13821,44,10,13821
42,1,"SIEBERG, Marcel ","Lotto Soudal","GER",0,13821,45,10,13821
43,1,"RESTREPO, Jhonatan ","Team Katusha-Alpecin","COL",0,13821,7,9,13820
44,1,"CLARKE, Simon ","Team EF Education First-Drapac p/b Cannondale","AUS",0,13821,46,10,13821
45,1,"IZAGIRRE, Ion ","Bahrain - Merida","ESP",0,13821,47,10,13821
46,1,"DOCKER, Mitchell ","Team EF Education First-Drapac p/b Cannondale","AUS",0,13821,48,10,13821
47,1,"EDMONDSON, Alexander ","Mitchelton-SCOTT","AUS",0,13821,49,10,13821
48,1,"DE VRESSE, Laurens ","Astana Pro Team","BEL",0,13821,50,10,13821
49,1,"SANCHEZ, Luis León ","Astana Pro Team","ESP",0,13821,51,10,13821
50,1,"SLAGTER, Tom-Jelte ","Team Dimension Data for Qhubeka","NED",0,13821,52,10,13821
51,1,"LATOUR, Pierre ","Ag2R La Mondiale","FRA",0,13821,53,10,13821
52,1,"MARCATO, Marco ","UAE Team Emirates","ITA",0,13821,54,10,13821
53,1,"OLIVIER, Daan ","Team Lotto NL - Jumbo","NED",0,13821,55,10,13821
54,1,"WYSS, Danilo ","BMC Racing Team","SUI",0,13821,56,10,13821
55,1,"DEBUSSCHERE, Jens ","Lotto Soudal","BEL",0,13821,57,10,13821
56,1,"CANTY, Brendan ","Team EF Education First-Drapac p/b Cannondale","AUS",0,13821,58,10,13821
